CustomColumn, Frame, TreatmentSensor, PER-X, PER-Y, LeftSector, RightSector, LeftFlagellumTip-X, LeftFlagellumTip-Y, RightFlagellumTip-X, RightFlagellumTip-Y, LeftFlagellumBase-X, LeftFlagellumBase-Y, RightFlagellumBase-X, RightFlagellumBase-Y, RotationAngle, AntennaSensorWidth, AntennaSensorHeight, AntennaSensorOffset-X, AntennaSensorOffset-Y, AntennaSensorScale-X, AntennaSensorScale-Y
Control-01,50,65,308,174,2,2,257,187,401,166,282,210,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,51,65,308,174,2,2,254,202,406,177,275,218,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,52,67,308,174,2,2,251,200,406,179,275,218,360,218,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,53,62,308,174,2,2,249,195,409,184,277,215,360,218,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,54,65,308,174,2,2,267,184,411,187,282,210,360,218,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,55,62,308,174,1,3,280,148,411,187,282,210,360,218,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,56,62,308,174,1,3,282,179,411,190,282,210,360,218,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,57,63,308,174,1,3,282,190,411,190,282,210,362,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,58,64,308,174,1,3,280,151,411,190,282,210,362,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,59,62,308,174,1,3,272,148,414,190,280,210,362,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,60,63,308,174,2,3,257,159,417,195,280,210,362,223,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,61,61,308,174,2,3,249,174,419,202,277,215,362,226,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,62,61,308,174,2,3,254,177,422,215,280,213,365,228,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,63,64,308,174,2,3,264,184,422,223,282,210,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,64,62,308,174,1,3,267,169,422,226,285,205,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,65,61,308,174,1,3,275,169,422,228,285,202,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,66,61,308,174,1,3,275,166,422,231,285,200,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,67,63,308,174,1,3,270,161,422,241,285,202,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,68,64,308,174,1,3,267,156,422,244,285,202,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,69,67,308,174,2,3,270,177,419,249,282,210,365,244,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,70,63,308,174,2,3,262,190,419,254,280,213,365,246,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,71,62,308,174,2,4,264,200,417,259,275,218,365,246,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,72,65,308,174,3,4,259,223,411,267,270,228,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,73,63,308,174,3,4,259,233,411,272,267,236,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,74,63,308,174,3,4,259,233,411,272,267,236,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,75,64,308,174,3,4,259,233,411,270,267,236,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,76,65,308,174,3,4,259,231,411,270,270,231,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,77,65,308,174,2,4,267,202,411,270,277,215,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,78,66,308,174,2,4,270,190,406,275,282,210,360,257,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,79,66,308,174,2,4,270,190,406,275,282,210,360,257,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,80,64,308,174,2,4,270,190,401,285,282,210,357,262,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,81,65,308,174,2,4,270,190,399,288,282,210,357,262,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,82,63,308,174,4,4,264,270,399,288,275,262,357,262,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,83,64,308,174,4,4,262,277,399,288,277,267,357,262,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,84,63,308,174,4,4,264,282,399,285,277,267,357,262,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,85,64,308,174,3,4,251,223,393,285,272,226,357,262,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,86,63,308,174,2,4,251,197,383,264,280,213,360,254,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,87,62,308,174,2,3,259,179,391,210,282,210,362,226,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,88,62,308,174,2,3,259,179,391,210,282,210,362,226,-7,258,258,187,107,2.57712741596489,2.57712741596489
