"","lftX","lftY","rftX","rftY","lfbX","lfbY","rfbX","rfbY","lsX","lsY","rsX","rsY","lmtX","lmtY","rmtX","rmtY","lmbX","lmbY","rmbX","rmbY"
"1",-5.12225306615483,-0.662738123775382,6.75140904692638,1.34730226766643,-1.66571306861001,1.66458087478208,2.32081904800151,0.838812656679027,-0.460089945168218,0.0670298396425161,0.549315053869755,0.0492126239421176,-0.396700307569369,-3.47440230358045,-0.155418098376956,-3.64233146782087,-1.31414712343467,-2.09848624833742,0.818098300705292,-2.69763778286736
"2",-4.32505324195804,4.92701219526144,5.29769199702013,3.01218255300622,-1.56170729593379,1.70806911453013,2.18433053400559,1.80813527460498,-0.460089945168218,0.0670298396425161,0.549315053869755,0.0492126239421176,-0.346400350549271,-3.47780816221647,-0.145200522468882,-3.49143159676057,-1.31414712343467,-2.09848624833742,0.818098300705292,-2.69763778286736
"3",-3.92946530306931,4.79916541213304,3.18979592044219,-1.99920801078285,-1.50800148027766,1.7549632129142,1.35752022482734,0.0450188427858182,-0.460089945168218,0.0670298396425161,0.549315053869755,0.0492126239421176,-0.171659469036806,-3.13592603898387,-0.202312196761029,-3.58862565216474,-1.3175529820707,-2.14878620535752,0.717498386665098,-2.69082606559531
"4",-6.03395552101123,-0.161925194635925,5.78785605519728,3.53482935250306,-2.2863418460313,1.45395139331389,1.75468400875662,1.4329824875324,-0.460089945168218,0.0670298396425161,0.549315053869755,0.0492126239421176,-0.403512024841418,-3.57500221762064,-0.202312196761029,-3.58862565216474,-1.3175529820707,-2.14878620535752,0.717498386665098,-2.69082606559531
"5",-1.05741146610268,-3.53072605535232,6.95863266975855,0.676373533225039,-2.48492373799594,0.759969570940604,2.06931926290103,0.855841949859151,-0.621207392136584,-0.0736524555097017,0.549315053869755,0.0492126239421176,-0.403512024841418,-3.57500221762064,-0.202312196761029,-3.58862565216474,-1.3175529820707,-2.14878620535752,0.767798343685195,-2.69423192423134
"6",-4.20325567043692,-3.72196247607956,4.59923680808012,-4.3179877373839,-2.32040043239155,0.950951823112919,2.20240191826092,-0.163780625086895,-0.621207392136584,-0.0736524555097017,0.549315053869755,0.0492126239421176,-0.403512024841418,-3.57500221762064,-0.209123914033079,-3.68922556620494,-1.41134117883884,-2.04137457404527,0.767798343685195,-2.69423192423134
"7",-3.09325075735875,-3.74659140905201,6.58086194657021,1.8136253153914,-2.62901189178418,0.870787060888873,2.22021913396132,0.845624373951077,-0.621207392136584,-0.0736524555097017,0.549315053869755,0.0492126239421176,-0.396700307569369,-3.47440230358045,-0.155418098376956,-3.64233146782087,-1.36444708045477,-2.0950803897014,0.767798343685195,-2.69423192423134
"8",-5.25797892281842,-2.13462901684807,6.82056831072208,0.129885723276017,-2.04505963683889,1.28602222907348,2.19637812350914,0.493524674810395,-0.570907435116487,-0.0770583141457265,0.549315053869755,0.0492126239421176,-0.18868876221693,-3.38742582408435,-0.155418098376956,-3.64233146782087,-1.36444708045477,-2.0950803897014,0.767798343685195,-2.69423192423134
"9",-5.82096227198221,1.49116166975524,5.31444170478983,-3.45686467329047,-1.86010117941835,1.77880422336638,2.25951359255307,-0.0665865696827255,-0.564095717844437,0.0235415998944683,0.549315053869755,0.0492126239421176,-0.342994491913247,-3.42750820519638,-0.155418098376956,-3.64233146782087,-1.36444708045477,-2.0950803897014,0.767798343685195,-2.69423192423134
"10",-5.93701563416198,2.76228402980177,6.12579856582851,-0.429437598696829,-2.05108343159066,1.94332752897077,2.25348979780129,0.590718730214565,-0.564095717844437,0.0235415998944683,0.549315053869755,0.0492126239421176,-0.292694534893149,-3.4309140638324,-0.155418098376956,-3.64233146782087,-1.31414712343467,-2.09848624833742,0.767798343685195,-2.69423192423134
"11",-5.17936458877942,5.74281700601134,4.78813487810203,-0.0356796734035757,-1.43386051280539,2.10365705341886,1.76751952078044,0.8762771016753,-0.557284000572387,0.124141513934663,0.549315053869755,0.0492126239421176,-0.292694534893149,-3.4309140638324,-0.155418098376956,-3.64233146782087,-1.31414712343467,-2.09848624833742,0.767798343685195,-2.69423192423134
"12",-5.30380551327179,5.39752902414271,3.88090563814481,1.49113625289974,-1.43386051280539,2.10365705341886,1.46571977865986,0.896712253491449,-0.557284000572387,0.124141513934663,0.549315053869755,0.0492126239421176,-0.296100393529174,-3.4812140208525,-0.256018012417151,-3.63551975054882,-1.31414712343467,-2.09848624833742,0.767798343685195,-2.69423192423134
"13",-5.25536098670267,-2.84223427376546,4.18977126609237,-1.41001988360605,-2.47208822597211,0.203264185083508,1.44528462684371,0.594912511370865,-0.557284000572387,0.124141513934663,0.549315053869755,0.0492126239421176,-0.457217840497541,-3.62189631600472,-0.205718055397054,-3.63892560918484,-1.31414712343467,-2.09848624833742,0.767798343685195,-2.69423192423134
"14",-7.83138470774556,3.1432064430712,3.78554159633611,0.0827374563370176,-2.22923017173915,1.55114544871806,1.49558458386381,0.59150665273484,-0.557284000572387,0.124141513934663,0.549315053869755,0.0492126239421176,-0.393294448933344,-3.42410234656035,-0.205718055397054,-3.63892560918484,-1.31414712343467,-2.09848624833742,0.767798343685195,-2.69423192423134
"15",-7.63437866082147,2.32137783756952,4.97466918056312,1.9729127487643,-2.44745929299966,1.31326909816168,1.25770823330742,0.809735773995353,-0.557284000572387,0.124141513934663,0.549315053869755,0.0492126239421176,-0.356617926457346,-3.62870803327677,-0.205718055397054,-3.63892560918484,-1.31414712343467,-2.09848624833742,0.767798343685195,-2.69423192423134
"16",-7.21075593032427,3.35383592453939,3.438423600872,1.67268885168426,-2.38353590143547,1.51106306760604,1.22103171083142,1.01434146071177,-0.557284000572387,0.124141513934663,0.549315053869755,0.0492126239421176,-0.356617926457346,-3.62870803327677,-0.205718055397054,-3.63892560918484,-1.31414712343467,-2.09848624833742,0.767798343685195,-2.69423192423134
"17",-6.92834924894463,0.808185345810299,5.3487798765605,3.76668190830768,-2.41759448779572,1.00806349740507,1.33184920077969,1.15842961450001,-0.557284000572387,0.124141513934663,0.549315053869755,0.0492126239421176,-0.353212067821321,-3.57840807625667,-0.205718055397054,-3.63892560918484,-1.31414712343467,-2.09848624833742,0.767798343685195,-2.69423192423134
