Frame, BuzzerValue, LeftSector, RightSector, LeftFlagellumTip-X, LeftFlagellumTip-Y, RightFlagellumTip-X, RightFlagellumTip-Y, LeftFlagellumBase-X, LeftFlagellumBase-Y, RightFlagellumBase-X, RightFlagellumBase-Y, RotationAngle, ReceptiveFieldWidth, ReceptiveFieldHeight, ReceptiveFieldOffset-X, ReceptiveFieldOffset-Y, ReceptiveFieldScale-X, ReceptiveFieldScale-Y, SectorData
1,126,4,3,53,162,213,155,97,158,181,156,2,281,281,167,44,2.75,2.75, 301.16393442623,720.054644808743,3335.32786885246,4886.10928961749,380.109289617486,27,436.379174852652,3483.37917485265,996.706286836935,199
2,127,4,3,51,169,220,142,103,161,181,152,2,281,281,167,44,2.75,2.75, 90,420.933202357564,616.644400785855,12532.2888015717,99,191.924890829694,467.924890829694,5017.62445414847,1578.62445414847,524.962445414847
3,123,4,3,49,166,214,164,99,155,178,158,2,281,281,167,44,2.75,2.75, 176,467.405651777575,1440.40565177758,12659.839562443,230.702825888788,474.584337349398,276.584337349398,4194.86144578313,3561.86144578313,328.861445783133
4,121,4,4,43,172,222,175,96,156,177,160,2,281,281,167,44,2.75,2.75, 252.989612842304,608.979225684608,862.47403210576,5321.90651558074,307.989612842304,389.937242798354,116,2761.87448559671,10707.4979423868,131
5,121,4,4,45,170,222,172,97,163,176,165,2,281,281,167,44,2.75,2.75, 76,1300.50279329609,889.201117318436,12797.4022346369,60,914.277873070326,348.569468267581,731.138936535163,25979.3404802744,34
6,124,4,4,43,171,227,190,105,165,176,166,2,281,281,167,44,2.75,2.75, 54,99,1342.02193784278,19753.8153564899,0,0,0,0,22802.5267770204,0
8,125,4,4,42,184,225,200,103,163,177,166,2,281,281,167,44,2.75,2.75, 0,0,56,15793.5666666667,238,78.9527027027027,31,0,17306.0540540541,0
9,126,4,4,41,183,226,199,103,163,172,169,2,281,281,167,44,2.75,2.75, 0,50,173.362035225049,14526.3532289628,115,0,202.741818181818,59.8709090909091,19950.4490909091,17
10,124,4,4,42,185,224,204,104,165,175,166,2,281,281,167,44,2.75,2.75, 95.9880952380952,244.97619047619,40,28762.630952381,0,0,0,213.782768102658,12580.522456462,106
11,120,4,4,44,189,224,206,105,166,166,174,2,281,281,167,44,2.75,2.75, 0,259.380997177799,756.142991533396,24056.5719661336,168,40,561.633276740238,403.219015280136,14202.9235993209,133
12,115,4,4,47,191,224,210,106,166,166,176,2,281,281,167,44,2.75,2.75, 349.587209302326,173.587209302326,287.587209302326,25293.6337209302,8,823.186741363212,174.037348272642,819.186741363212,14846.6349206349,16
13,112,4,4,52,194,224,210,105,168,172,175,2,281,281,167,44,2.75,2.75, 572.127141568981,435.084761045987,614.211902614968,18490.3814247069,132.042380522994,1063.494391717,467.633304572908,907.86108714409,12830.8110440035,82
14,115,4,4,54,192,225,209,106,165,167,175,2,281,281,167,44,2.75,2.75, 287.769230769231,411.769230769231,234,17258.8461538462,217.769230769231,222.399433427762,119,330.198300283286,10810.7875354108,182.798866855524
15,108,4,4,54,188,224,210,105,164,174,180,2,281,281,167,44,2.75,2.75, 90,67.7929433611885,159.792943361188,15989.9247910863,248.585886722377,593.52775543041,1135.96942880129,288.705551086082,5577.46661303299,247.852775543041
16,125,4,4,57,173,224,210,96,159,174,181,2,281,281,167,44,2.75,2.75, 0,0,1775.85849952517,11848.8679962013,75.2146248812915,386.040071237756,542.026714158504,310.520035618878,6693.88067675868,76
17,112,3,4,52,150,222,210,99,150,173,172,2,281,281,167,44,2.75,2.75, 0,0,10886.6548418025,2237,0,244.886398763524,912.394126738795,567.621329211747,9091.22024729521,116
18,131,3,4,57,120,223,218,98,142,169,173,2,281,281,167,44,2.75,2.75, 145,21,8680.66047745358,97.2015915119363,0,87,581.593235039029,219.779705117086,10526.0173460538,180.593235039029
19,135,2,4,90,135,222,213,98,140,168,173,2,281,281,167,44,2.75,2.75, 262.529857819905,1628.15924170616,1599.1990521327,266.01990521327,237.509952606635,311.948409286328,218.965606190886,570.948409286328,9882.50128976784,215
20,135,2,4,83,83,222,213,101,124,168,173,2,281,281,167,44,2.75,2.75, 104.374788494078,6611.49407783418,476.124365482234,86,99,62.4359233097881,687.179616548941,425,15431.8466195762,115.435923309788
21,132,2,4,95,67,222,213,103,120,170,176,2,281,281,167,44,2.75,2.75, 1815.70549860205,6224.1174277726,373.794035414725,0,259.52935694315,614.163141993958,779.035498489426,975.326283987915,7994.23413897281,585.326283987915
22,130,1,4,120,70,221,215,107,114,173,181,2,281,281,167,44,2.75,2.75, 3858.78331970564,3382.73180703189,592.103025347506,327.57726901063,170,233.013100436681,809.786026200873,932.799126637555,2455.06550218341,284.506550218341
23,126,1,1,106,75,220,218,109,111,220,212,2,281,281,167,44,2.75,2.75, 3076.53157894737,1230.60964912281,651.609649122807,100,152.921929824561,1092.74878758487,714.935984481086,628.967992240543,626.967992240543,151.780795344326
24,130,2,4,109,81,220,212,102,122,172,174,2,281,281,167,44,2.75,2.75, 2311.20475319927,5214.20475319927,319.237659963437,269.491773308958,201.745886654479,283.964317573595,504.955396966994,903.937555753791,2728.88403211418,163.991079393399
25,124,2,4,98,68,219,216,100,127,166,182,2,281,281,167,44,2.75,2.75, 1892.18557692308,8792.79038461539,460.185576923077,165,323.790384615385,650.789473684211,720.736842105263,988.421052631579,4529.36842105263,256.315789473684
26,124,2,4,90,65,219,216,101,124,172,182,2,281,281,167,44,2.75,2.75, 441.362244897959,8588.72448979592,1097.26785714286,282.724489795918,563.905612244898,444.65224625624,423.978369384359,522.978369384359,6075.84858569051,193
